problem,p,m,q,n,lb,lb_ref,ub,ub_ref
cyclic,3,2,9,10,14,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",14,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,3,2,9,11,19,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",19,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,11,1,11,1,1,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",1,linear folding of the corresponding full-product algorithm (derived)
cyclic,11,1,11,2,2,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",2,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,11,1,11,3,4,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",4,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,11,1,11,4,5,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",5,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,11,1,11,5,5,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",5,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,11,1,11,6,8,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",8,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,11,1,11,7,11,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",11,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,11,1,11,8,11,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",11,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,11,1,11,9,15,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",15,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,11,1,11,10,10,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",10,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,11,1,11,11,21,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",21,"Winograd (1976), CRT decomposition; repeated-factor local components use exact truncated rank 2e-1 and non-linear components use corresponding extfield/full-product UBs (derived); https://doi.org/10.1007/BF01683270; https://arxiv.org/pdf/1906.07456"
cyclic,13,1,13,1,1,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",1,linear folding of the corresponding full-product algorithm (derived)
cyclic,13,1,13,2,2,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",2,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,13,1,13,3,3,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",3,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,13,1,13,4,4,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",4,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,13,1,13,5,8,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",8,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,13,1,13,6,6,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",6,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,13,1,13,7,10,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",10,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,13,1,13,8,10,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",10,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,13,1,13,9,13,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",13,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,13,1,13,10,16,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",16,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,13,1,13,11,20,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",21,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,2,4,16,1,1,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",1,linear folding of the corresponding full-product algorithm (derived)
cyclic,2,4,16,2,3,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",3,linear folding of the corresponding full-product algorithm (derived)
cyclic,2,4,16,3,3,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",3,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,2,4,16,4,7,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",7,linear folding of the corresponding full-product algorithm (derived)
cyclic,2,4,16,5,5,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",5,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,2,4,16,6,9,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",9,"Winograd (1976), CRT decomposition; repeated-factor local components use exact truncated rank 2e-1 and non-linear components use corresponding extfield/full-product UBs (derived); https://doi.org/10.1007/BF01683270; https://arxiv.org/pdf/1906.07456"
cyclic,2,4,16,7,11,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",11,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,2,4,16,8,15,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",15,linear folding of the corresponding full-product algorithm (derived)
cyclic,2,4,16,9,13,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",13,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
cyclic,2,4,16,10,15,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",15,"Winograd (1976), CRT decomposition; repeated-factor local components use exact truncated rank 2e-1 and non-linear components use corresponding extfield/full-product UBs (derived); https://doi.org/10.1007/BF01683270; https://arxiv.org/pdf/1906.07456"
cyclic,2,4,16,11,19,"Winograd (1976), modulus-factor lower bound rank>=2 deg(P)-k for P=prod_i P_i^ell_i; https://doi.org/10.1007/BF01683270",19,"Winograd (1976), CRT decomposition; component field UBs from corresponding extfield rows (derived); https://doi.org/10.1007/BF01683270"
extfield,2,1,2,1,1,trivial scalar multiplication,1,trivial scalar multiplication
extfield,2,1,2,2,3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,2,1,2,3,6,"Ballet et al. (2021), Theorem 2.1 and Table 2; https://arxiv.org/pdf/1906.07456",6,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,2,1,2,4,9,"Ballet et al. (2021), Remark 9.3; https://arxiv.org/pdf/1906.07456",9,"Ballet et al. (2021), Remark 9.3; https://arxiv.org/pdf/1906.07456"
extfield,2,1,2,5,13,"Ballet et al. (2021), Corollary 4.3; Grassl CodeTables binary [L,n,d>=n] bound (derived); https://arxiv.org/pdf/1906.07456; https://www.codetables.de/",13,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,2,1,2,6,15,"Ballet et al. (2021), Remark 9.3; https://arxiv.org/pdf/1906.07456",15,"Ballet et al. (2021), Remark 9.3; https://arxiv.org/pdf/1906.07456"
extfield,2,1,2,7,18,"Ballet et al. (2021), Corollary 4.3; Grassl CodeTables binary [L,n,d>=n] bound (derived); https://arxiv.org/pdf/1906.07456; https://www.codetables.de/",22,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,2,1,2,8,20,"Ballet et al. (2021), Corollary 4.3; Grassl CodeTables binary [L,n,d>=n] bound (derived); https://arxiv.org/pdf/1906.07456; https://www.codetables.de/",24,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,2,1,2,9,26,"Ballet et al. (2021), Corollary 4.3; Grassl CodeTables binary [L,n,d>=n] bound (derived); https://arxiv.org/pdf/1906.07456; https://www.codetables.de/",30,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,2,1,2,10,28,"Ballet et al. (2021), Corollary 4.3; Grassl CodeTables binary [L,n,d>=n] bound (derived); https://arxiv.org/pdf/1906.07456; https://www.codetables.de/",33,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,2,1,2,11,31,"Ballet et al. (2021), Corollary 4.3; Grassl CodeTables binary [L,n,d>=n] bound (derived); https://arxiv.org/pdf/1906.07456; https://www.codetables.de/",39,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,3,1,3,1,1,trivial scalar multiplication,1,trivial scalar multiplication
extfield,3,1,3,2,3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,3,1,3,3,6,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456",6,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456"
extfield,3,1,3,4,8,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",9,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,3,1,3,5,10,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",11,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,3,1,3,6,12,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",15,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,3,1,3,7,15,"Ballet et al. (2021), Corollary 4.3; Griesmer bound (derived); https://arxiv.org/pdf/1906.07456",19,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,3,1,3,8,17,"Ballet et al. (2021), Corollary 4.3; Griesmer bound (derived); https://arxiv.org/pdf/1906.07456",21,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,3,1,3,9,19,"Ballet et al. (2021), Corollary 4.3; Griesmer bound (derived); https://arxiv.org/pdf/1906.07456",26,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,3,1,3,10,23,"Ballet et al. (2021), Corollary 4.3; Griesmer bound (derived); https://arxiv.org/pdf/1906.07456",27,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,3,1,3,11,25,"Ballet et al. (2021), Corollary 4.3; Griesmer bound (derived); https://arxiv.org/pdf/1906.07456",34,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,2,2,4,1,1,trivial scalar multiplication,1,trivial scalar multiplication
extfield,2,2,4,2,3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,2,2,4,3,5,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",5,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,2,2,4,4,8,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456",8,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456"
extfield,2,2,4,5,10,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",11,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,2,2,4,6,12,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",14,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,2,2,4,7,14,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",17,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,2,2,4,8,16,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",20,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,2,2,4,9,19,"Ballet et al. (2021), Corollary 4.3; Griesmer bound (derived); https://arxiv.org/pdf/1906.07456",23,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,2,2,4,10,21,"Ballet et al. (2021), Corollary 4.3; Griesmer bound (derived); https://arxiv.org/pdf/1906.07456",27,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,2,2,4,11,23,"Ballet et al. (2021), Corollary 4.3; Griesmer bound (derived); https://arxiv.org/pdf/1906.07456",30,"Ballet et al. (2021), Table 2; https://arxiv.org/pdf/1906.07456"
extfield,5,1,5,1,1,trivial scalar multiplication,1,trivial scalar multiplication
extfield,5,1,5,2,3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,5,1,5,3,5,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",5,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,5,1,5,4,8,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456",8,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456"
extfield,5,1,5,5,10,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456",10,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456"
extfield,5,1,5,6,12,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",14,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,5,1,5,7,14,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",17,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,5,1,5,8,16,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",20,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,5,1,5,9,18,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",23,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,5,1,5,10,20,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",26,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,5,1,5,11,23,"Ballet et al. (2021), Corollary 4.3; Griesmer bound (derived); https://arxiv.org/pdf/1906.07456",29,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,7,1,7,1,1,trivial scalar multiplication,1,trivial scalar multiplication
extfield,7,1,7,2,3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,7,1,7,3,5,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",5,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,7,1,7,4,7,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",7,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,7,1,7,5,10,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456",10,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456"
extfield,7,1,7,6,12,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456",12,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456"
extfield,7,1,7,7,14,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",16,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,7,1,7,8,16,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",19,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,7,1,7,9,18,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",22,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,7,1,7,10,20,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",25,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,7,1,7,11,22,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",28,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,2,3,8,1,1,trivial scalar multiplication,1,trivial scalar multiplication
extfield,2,3,8,2,3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,2,3,8,3,5,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",5,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,2,3,8,4,7,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",7,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,2,3,8,5,9,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",9,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,2,3,8,6,12,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456",12,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456"
extfield,2,3,8,7,14,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456",14,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456"
extfield,2,3,8,8,16,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",18,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,2,3,8,9,18,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",21,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,2,3,8,10,20,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",24,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,2,3,8,11,22,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",27,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,3,2,9,1,1,trivial scalar multiplication,1,trivial scalar multiplication
extfield,3,2,9,2,3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,3,2,9,3,5,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",5,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,3,2,9,4,7,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",7,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,3,2,9,5,9,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",9,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,3,2,9,6,12,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456",12,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456"
extfield,3,2,9,7,14,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456",14,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456"
extfield,3,2,9,8,16,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",18,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,3,2,9,9,18,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",21,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,3,2,9,10,20,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",24,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,3,2,9,11,22,"Ballet et al. (2021), Theorem 2.1 (integer consequence of strict inequality); https://arxiv.org/pdf/1906.07456",27,"Ballet–Bonnecaze–Pacifico (2021), Proposition 3 (derived optimized projective-line construction); https://arxiv.org/pdf/2007.16082"
extfield,11,1,11,1,1,trivial scalar multiplication,1,trivial scalar multiplication
extfield,11,1,11,2,3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",3,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,11,1,11,3,5,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",5,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,11,1,11,4,7,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",7,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,11,1,11,5,9,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",9,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,11,1,11,6,11,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456",11,"Ballet et al. (2021), Theorem 2.2 (Winograd–de Groote); https://arxiv.org/pdf/1906.07456"
extfield,11,1,11,7,14,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456",14,"Ballet et al. (2021), Theorem 9.1; https://arxiv.org/pdf/1906.07456"
