problem,p,m,q,n,lb,lb_ref,ub,ub_ref
truncated,5,1,5,10,19,Alder-Strassen (1981),,
extfield,5,1,5,10,19,Winograd (1977),,
full,5,1,5,11,21,Winograd (1977),,
cyclic,5,1,5,11,19,Alder-Strassen (1981),,
negacyclic,5,1,5,11,19,Alder-Strassen (1981),,
truncated,5,1,5,11,21,Alder-Strassen (1981),,
extfield,5,1,5,11,21,Winograd (1977),,
full,7,1,7,1,1,Winograd (1977),1,Winograd (1977)
cyclic,7,1,7,1,1,Alder-Strassen (1981),1,Lempel-Winograd (1983)
negacyclic,7,1,7,1,1,Alder-Strassen (1981),1,Lempel-Winograd (1983)
truncated,7,1,7,1,1,Alder-Strassen (1981),1,Winograd (1977)
extfield,7,1,7,1,1,Winograd (1977),1,Ballet et al. (2021)
full,7,1,7,2,3,Winograd (1977),3,Winograd (1977)
cyclic,7,1,7,2,2,Alder-Strassen (1981),2,Lempel-Winograd (1983)
negacyclic,7,1,7,2,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
truncated,7,1,7,2,3,Alder-Strassen (1981),3,Winograd (1977)
extfield,7,1,7,2,3,Winograd (1977),3,Ballet et al. (2021)
full,7,1,7,3,5,Winograd (1977),5,Winograd (1977)
cyclic,7,1,7,3,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
negacyclic,7,1,7,3,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
truncated,7,1,7,3,5,Alder-Strassen (1981),5,Winograd (1977)
extfield,7,1,7,3,5,Winograd (1977),5,Ballet et al. (2021)
full,7,1,7,4,7,Winograd (1977),7,Winograd (1977)
cyclic,7,1,7,4,5,Alder-Strassen (1981),5,Lempel-Winograd (1983)
negacyclic,7,1,7,4,6,Alder-Strassen (1981),6,Lempel-Winograd (1983)
truncated,7,1,7,4,7,Alder-Strassen (1981),7,Winograd (1977)
extfield,7,1,7,4,7,Winograd (1977),7,Ballet et al. (2021)
full,7,1,7,5,10,Kaminski & Bshouty (1989),10,Kaminski & Bshouty (1989)
cyclic,7,1,7,5,8,Alder-Strassen (1981),8,Lempel-Winograd (1983)
negacyclic,7,1,7,5,8,Alder-Strassen (1981),8,Lempel-Winograd (1983)
truncated,7,1,7,5,9,Alder-Strassen (1981),10,Kaminski & Bshouty (1989)
extfield,7,1,7,5,9,Winograd (1977),10,Kaminski & Bshouty (1989)
full,7,1,7,6,13,Kaminski & Bshouty (1989),13,Kaminski & Bshouty (1989)
cyclic,7,1,7,6,6,Alder-Strassen (1981),6,Lempel-Winograd (1983)
negacyclic,7,1,7,6,9,Alder-Strassen (1981),9,Lempel-Winograd (1983)
truncated,7,1,7,6,11,Alder-Strassen (1981),13,Kaminski & Bshouty (1989)
extfield,7,1,7,6,11,Winograd (1977),13,Kaminski & Bshouty (1989)
full,7,1,7,7,16,Kaminski & Bshouty (1989),16,Kaminski & Bshouty (1989)
cyclic,7,1,7,7,13,Alder-Strassen (1981),16,Kaminski & Bshouty (1989)
negacyclic,7,1,7,7,13,Alder-Strassen (1981),16,Kaminski & Bshouty (1989)
truncated,7,1,7,7,13,Alder-Strassen (1981),16,Kaminski & Bshouty (1989)
extfield,7,1,7,7,13,Winograd (1977),16,Kaminski & Bshouty (1989)
full,7,1,7,8,19,Kaminski & Bshouty (1989),19,Kaminski & Bshouty (1989)
cyclic,7,1,7,8,11,Alder-Strassen (1981),11,Lempel-Winograd (1983)
negacyclic,7,1,7,8,12,Alder-Strassen (1981),12,Lempel-Winograd (1983)
truncated,7,1,7,8,15,Alder-Strassen (1981),19,Kaminski & Bshouty (1989)
extfield,7,1,7,8,15,Winograd (1977),19,Kaminski & Bshouty (1989)
full,7,1,7,9,22,Kaminski & Bshouty (1989),22,Kaminski & Bshouty (1989)
cyclic,7,1,7,9,13,Alder-Strassen (1981),13,Lempel-Winograd (1983)
negacyclic,7,1,7,9,13,Alder-Strassen (1981),13,Lempel-Winograd (1983)
truncated,7,1,7,9,17,Alder-Strassen (1981),22,Kaminski & Bshouty (1989)
extfield,7,1,7,9,17,Winograd (1977),22,Kaminski & Bshouty (1989)
full,7,1,7,10,19,Winograd (1977),,
cyclic,7,1,7,10,16,Alder-Strassen (1981),16,Lempel-Winograd (1983)
negacyclic,7,1,7,10,17,Alder-Strassen (1981),17,Lempel-Winograd (1983)
truncated,7,1,7,10,19,Alder-Strassen (1981),,
extfield,7,1,7,10,19,Winograd (1977),,
full,7,1,7,11,21,Winograd (1977),,
cyclic,7,1,7,11,20,Alder-Strassen (1981),,
negacyclic,7,1,7,11,20,Alder-Strassen (1981),,
truncated,7,1,7,11,21,Alder-Strassen (1981),,
extfield,7,1,7,11,21,Winograd (1977),,
full,11,1,11,1,1,Winograd (1977),1,Winograd (1977)
cyclic,11,1,11,1,1,Alder-Strassen (1981),1,Lempel-Winograd (1983)
negacyclic,11,1,11,1,1,Alder-Strassen (1981),1,Lempel-Winograd (1983)
truncated,11,1,11,1,1,Alder-Strassen (1981),1,Winograd (1977)
extfield,11,1,11,1,1,Winograd (1977),1,Ballet et al. (2021)
full,11,1,11,2,3,Winograd (1977),3,Winograd (1977)
cyclic,11,1,11,2,2,Alder-Strassen (1981),2,Lempel-Winograd (1983)
negacyclic,11,1,11,2,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
truncated,11,1,11,2,3,Alder-Strassen (1981),3,Winograd (1977)
extfield,11,1,11,2,3,Winograd (1977),3,Ballet et al. (2021)
full,11,1,11,3,5,Winograd (1977),5,Winograd (1977)
cyclic,11,1,11,3,4,Alder-Strassen (1981),4,Lempel-Winograd (1983)
negacyclic,11,1,11,3,4,Alder-Strassen (1981),4,Lempel-Winograd (1983)
truncated,11,1,11,3,5,Alder-Strassen (1981),5,Winograd (1977)
extfield,11,1,11,3,5,Winograd (1977),5,Ballet et al. (2021)
full,11,1,11,4,7,Winograd (1977),7,Winograd (1977)
cyclic,11,1,11,4,5,Alder-Strassen (1981),5,Lempel-Winograd (1983)
negacyclic,11,1,11,4,6,Alder-Strassen (1981),6,Lempel-Winograd (1983)
truncated,11,1,11,4,7,Alder-Strassen (1981),7,Winograd (1977)
extfield,11,1,11,4,7,Winograd (1977),7,Ballet et al. (2021)
full,11,1,11,5,9,Winograd (1977),9,Winograd (1977)
cyclic,11,1,11,5,5,Alder-Strassen (1981),5,Lempel-Winograd (1983)
negacyclic,11,1,11,5,5,Alder-Strassen (1981),5,Lempel-Winograd (1983)
truncated,11,1,11,5,9,Alder-Strassen (1981),9,Winograd (1977)
extfield,11,1,11,5,9,Winograd (1977),9,Ballet et al. (2021)
full,11,1,11,6,11,Winograd (1977),11,Winograd (1977)
cyclic,11,1,11,6,8,Alder-Strassen (1981),8,Lempel-Winograd (1983)
negacyclic,11,1,11,6,9,Alder-Strassen (1981),9,Lempel-Winograd (1983)
truncated,11,1,11,6,11,Alder-Strassen (1981),11,Winograd (1977)
extfield,11,1,11,6,11,Winograd (1977),11,Ballet et al. (2021)
full,11,1,11,7,14,Kaminski & Bshouty (1989),14,Kaminski & Bshouty (1989)
cyclic,11,1,11,7,11,Alder-Strassen (1981),11,Lempel-Winograd (1983)
negacyclic,11,1,11,7,11,Alder-Strassen (1981),11,Lempel-Winograd (1983)
truncated,11,1,11,7,13,Alder-Strassen (1981),14,Kaminski & Bshouty (1989)
extfield,11,1,11,7,13,Winograd (1977),14,Kaminski & Bshouty (1989)
full,11,1,11,8,17,Kaminski & Bshouty (1989),17,Kaminski & Bshouty (1989)
cyclic,11,1,11,8,11,Alder-Strassen (1981),11,Lempel-Winograd (1983)
negacyclic,11,1,11,8,14,Alder-Strassen (1981),14,Lempel-Winograd (1983)
truncated,11,1,11,8,15,Alder-Strassen (1981),17,Kaminski & Bshouty (1989)
extfield,11,1,11,8,15,Winograd (1977),17,Kaminski & Bshouty (1989)
full,11,1,11,9,20,Kaminski & Bshouty (1989),20,Kaminski & Bshouty (1989)
cyclic,11,1,11,9,15,Alder-Strassen (1981),15,Lempel-Winograd (1983)
negacyclic,11,1,11,9,15,Alder-Strassen (1981),15,Lempel-Winograd (1983)
truncated,11,1,11,9,17,Alder-Strassen (1981),20,Kaminski & Bshouty (1989)
extfield,11,1,11,9,17,Winograd (1977),20,Kaminski & Bshouty (1989)
full,11,1,11,10,23,Kaminski & Bshouty (1989),23,Kaminski & Bshouty (1989)
cyclic,11,1,11,10,10,Alder-Strassen (1981),10,Lempel-Winograd (1983)
negacyclic,11,1,11,10,15,Alder-Strassen (1981),15,Lempel-Winograd (1983)
truncated,11,1,11,10,19,Alder-Strassen (1981),23,Kaminski & Bshouty (1989)
extfield,11,1,11,10,19,Winograd (1977),23,Kaminski & Bshouty (1989)
full,11,1,11,11,26,Kaminski & Bshouty (1989),26,Kaminski & Bshouty (1989)
cyclic,11,1,11,11,21,Alder-Strassen (1981),26,Kaminski & Bshouty (1989)
negacyclic,11,1,11,11,21,Alder-Strassen (1981),26,Kaminski & Bshouty (1989)
truncated,11,1,11,11,21,Alder-Strassen (1981),26,Kaminski & Bshouty (1989)
extfield,11,1,11,11,21,Winograd (1977),26,Kaminski & Bshouty (1989)
full,13,1,13,1,1,Winograd (1977),1,Winograd (1977)
cyclic,13,1,13,1,1,Alder-Strassen (1981),1,Lempel-Winograd (1983)
negacyclic,13,1,13,1,1,Alder-Strassen (1981),1,Lempel-Winograd (1983)
truncated,13,1,13,1,1,Alder-Strassen (1981),1,Winograd (1977)
extfield,13,1,13,1,1,Winograd (1977),1,Ballet et al. (2021)
full,13,1,13,2,3,Winograd (1977),3,Winograd (1977)
cyclic,13,1,13,2,2,Alder-Strassen (1981),2,Lempel-Winograd (1983)
negacyclic,13,1,13,2,2,Alder-Strassen (1981),2,Lempel-Winograd (1983)
truncated,13,1,13,2,3,Alder-Strassen (1981),3,Winograd (1977)
extfield,13,1,13,2,3,Winograd (1977),3,Ballet et al. (2021)
full,13,1,13,3,5,Winograd (1977),5,Winograd (1977)
cyclic,13,1,13,3,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
negacyclic,13,1,13,3,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
truncated,13,1,13,3,5,Alder-Strassen (1981),5,Winograd (1977)
extfield,13,1,13,3,5,Winograd (1977),5,Ballet et al. (2021)
full,13,1,13,4,7,Winograd (1977),7,Winograd (1977)
cyclic,13,1,13,4,4,Alder-Strassen (1981),4,Lempel-Winograd (1983)
negacyclic,13,1,13,4,6,Alder-Strassen (1981),6,Lempel-Winograd (1983)
truncated,13,1,13,4,7,Alder-Strassen (1981),7,Winograd (1977)
extfield,13,1,13,4,7,Winograd (1977),7,Ballet et al. (2021)
full,13,1,13,5,9,Winograd (1977),9,Winograd (1977)
cyclic,13,1,13,5,8,Alder-Strassen (1981),8,Lempel-Winograd (1983)
negacyclic,13,1,13,5,8,Alder-Strassen (1981),8,Lempel-Winograd (1983)
truncated,13,1,13,5,9,Alder-Strassen (1981),9,Winograd (1977)
extfield,13,1,13,5,9,Winograd (1977),9,Ballet et al. (2021)
full,13,1,13,6,11,Winograd (1977),11,Winograd (1977)
cyclic,13,1,13,6,6,Alder-Strassen (1981),6,Lempel-Winograd (1983)
negacyclic,13,1,13,6,6,Alder-Strassen (1981),6,Lempel-Winograd (1983)
truncated,13,1,13,6,11,Alder-Strassen (1981),11,Winograd (1977)
extfield,13,1,13,6,11,Winograd (1977),11,Ballet et al. (2021)
full,13,1,13,7,13,Winograd (1977),13,Winograd (1977)
cyclic,13,1,13,7,10,Alder-Strassen (1981),10,Lempel-Winograd (1983)
negacyclic,13,1,13,7,10,Alder-Strassen (1981),10,Lempel-Winograd (1983)
truncated,13,1,13,7,13,Alder-Strassen (1981),13,Winograd (1977)
extfield,13,1,13,7,13,Winograd (1977),13,Ballet et al. (2021)
full,13,1,13,8,16,Kaminski & Bshouty (1989),16,Kaminski & Bshouty (1989)
cyclic,13,1,13,8,10,Alder-Strassen (1981),10,Lempel-Winograd (1983)
negacyclic,13,1,13,8,14,Alder-Strassen (1981),14,Lempel-Winograd (1983)
truncated,13,1,13,8,15,Alder-Strassen (1981),16,Kaminski & Bshouty (1989)
extfield,13,1,13,8,15,Winograd (1977),16,Kaminski & Bshouty (1989)
full,13,1,13,9,19,Kaminski & Bshouty (1989),19,Kaminski & Bshouty (1989)
cyclic,13,1,13,9,13,Alder-Strassen (1981),13,Lempel-Winograd (1983)
negacyclic,13,1,13,9,13,Alder-Strassen (1981),13,Lempel-Winograd (1983)
truncated,13,1,13,9,17,Alder-Strassen (1981),19,Kaminski & Bshouty (1989)
extfield,13,1,13,9,17,Winograd (1977),19,Kaminski & Bshouty (1989)
full,13,1,13,10,22,Kaminski & Bshouty (1989),22,Kaminski & Bshouty (1989)
cyclic,13,1,13,10,16,Alder-Strassen (1981),16,Lempel-Winograd (1983)
negacyclic,13,1,13,10,16,Alder-Strassen (1981),16,Lempel-Winograd (1983)
truncated,13,1,13,10,19,Alder-Strassen (1981),22,Kaminski & Bshouty (1989)
extfield,13,1,13,10,19,Winograd (1977),22,Kaminski & Bshouty (1989)
full,13,1,13,11,25,Kaminski & Bshouty (1989),25,Kaminski & Bshouty (1989)
cyclic,13,1,13,11,20,Alder-Strassen (1981),25,Kaminski & Bshouty (1989)
negacyclic,13,1,13,11,20,Alder-Strassen (1981),25,Kaminski & Bshouty (1989)
truncated,13,1,13,11,21,Alder-Strassen (1981),25,Kaminski & Bshouty (1989)
extfield,13,1,13,11,21,Winograd (1977),25,Kaminski & Bshouty (1989)
